"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1859601998607417744","Thu Nov 21 14:29:08 +0000 2024","0","@bebekcoquette originote sama azarine enggak mempan di aku.. yang biasa aku pakai sih lactic acid dari avoskin perih² dikit tapi bagus banget besoknya langsung halus. kalau FSS mau coba karena kemarin direview enggak overclaim sama doktif.","1859604964894728359","","bebekcoquette","in","Tea Garden","0","2","0","https://x.com/shylvermist/status/1859604964894728359","1677964934683193344","shylvermist"
"1856335017724785137","Tue Nov 12 13:55:31 +0000 2024","0","Diriku ko penasaran yah knapa doktif doktif ini kagak ngreview produk Loreal SK11 Lancome gtw atau diriku yg gak ngikutin?? kan takut bgt udh beli mahal2 trus kalau ternyta overclaim gmn..klo cma Hanasui atau Azarine mah masih kehitung murah ","1856335017724785137","","","in","","0","1","0","https://x.com/pascalsianida/status/1856335017724785137","1269150283","pascalsianida"
"1856177025473753227","Tue Nov 12 11:33:06 +0000 2024","0","Sunscreen Azarine ini juga udah doktif approved teksturnya gel dan ringan di wajah gamlang di blend dan no whitecast. Kalo yang ini cocok untuk semua jenis kulit https://t.co/CeVV6ZOvQH","1856299175849463874","","lala_onechan18","in","","0","1","0","https://x.com/lala_onechan18/status/1856299175849463874","1744035084007854080","lala_onechan18"
"1854808096469926411","Sat Nov 09 05:43:53 +0000 2024","0","@smouzt @cingreborn Kayanya doktif periksa sendiri eh trnyata hasilnya sesuai claim trs make doktif buat endorse sama azarine mungkin gituu","1855124127230968247","","clearytianoviko","in","","0","0","0","https://x.com/draftbyjm/status/1855124127230968247","1288604342241517568","draftbyjm"
"1854891591598850250","Fri Nov 08 14:19:52 +0000 2024","0","percaya sm review doktif krn waktu pas pake serum retinol azarine kek ga ngaruh apa2 trnyta hasilnya overclaim","1854891591598850250","","","in","Bandung","0","0","0","https://x.com/deyacccoulter/status/1854891591598850250","1164855747085123584","deyacccoulter"
"1854782032100094064","Fri Nov 08 07:04:31 +0000 2024","0","Azarine hydramax sunscreen doktif approved https://t.co/7jBzBTxBV1 Promo shopee lazada tokopedia blibli kode voucher wts wtb gratis diskon cashback murah sale payday gajian fdx jastip jxb female daily wtt rekomendasi bondak bonus info racun join tele https://t.co/e2Y21z1ODc https://t.co/n2UZe21Nx3","1854782032100094064","https://pbs.twimg.com/media/Gb2CbEIacAAGmCz.jpg","","in","jajan teroos","0","0","0","https://x.com/diskon100k/status/1854782032100094064","1502196403388678148","diskon100k"
"1854718074378977657","Fri Nov 08 06:05:45 +0000 2024","0","@bbhxsoul Kmrn dia udh ngecap elseskin sama azarine ada produknya yg overclaim skrng malah dia jd affiliator brand tsb langsung. Bahkan kmrn ada org yg komen udh ga mau percaya ama brand tsb karna udh ada produknya yg dinilai overclaimed sama si doktif ini. Dmn kredibilitasnya nih dokter?","1854767244598988867","","bbhxsoul","in","","0","1","0","https://x.com/penuliswnovel/status/1854767244598988867","1315867411","penuliswnovel"
"1854754871653941483","Fri Nov 08 06:00:36 +0000 2024","0","@rrkivelv Wkwkwk dan udh jualan azrine jg. Pdhl kmrn aku abis debat sama org yg blng ga percaya brand azarine karna produknya ada yg udh overclaimed tetot skrng malah brandnya ngendors doktif jualan affiliate live. Pengen ngeledekin lg deh org yg blng udh ga prcaya azrne itu","1854765947112087893","","rrkivelv","in","","0","0","0","https://x.com/penuliswnovel/status/1854765947112087893","1315867411","penuliswnovel"
"1854730136157040872","Fri Nov 08 03:38:18 +0000 2024","3","Terserah doktif mau bilang apa intinya aku cinta Azarine Somethinc dan Avoskin &lt;3 yang penting cocok dan efek yang ditawarin si brand cocok","1854730136157040872","","","in","Pulau seribu","0","1","0","https://x.com/sleepyxaa/status/1854730136157040872","1838570139484327936","sleepyxaa"
"1853674327163679128","Thu Nov 07 04:27:42 +0000 2024","0","Welcome to the CLub! SUNSCREEN AZARINE!!! Seneng ga klean gaiss brand SS sejuta umat akhirnya Doktif Approved Hydrashoote :&gt; https://t.co/IZDhQeVAPW (cocok buat cowok minim whitecast) Hydramax - C :&gt; https://t.co/BZ0DyFrWrR (ini gw jg pernah pakai gaiss ini ada tone upnya) https://t.co/i7iO8cpOhV","1854380182045680081","https://pbs.twimg.com/media/GbwUVtRboAItOoR.jpg","ssieun3004","in","","0","1","1","https://x.com/ssieun3004/status/1854380182045680081","339403416","ssieun3004"
