"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1880406034566586401","Sat Jan 18 20:39:11 +0000 2025","4","@smartgirl1506 @convomf aneh aja tiba tiba mau jadi kepala bpom wkkwkwkw emang uda fix doktif lakuin semua itu tanpa kepentingan pribadi apapun? sekarang dan kedepannya?","1880716590569975911","","smartgirl1506","in","PAYMENT : DANA OVO GOPAY SPAY","0","3","0","https://x.com/JokiYourmath/status/1880716590569975911","1406420780104126472","JokiYourmath"
"1880302870760771980","Sat Jan 18 20:38:32 +0000 2025","14","@coch17_hayday @tanyarlfes @BPOM_RI Bpom bukan lembaga bersih. Kita tau lah rekam jejak lembaga pemerintah. Sebersih2 nya lembaga tetep aja jebol. Ada yg lolos demi cuan ga heran.","1880716426224513270","","coch17_hayday","in","Temanggung-Yogyakarta","0","0","1","https://x.com/afiiitz10/status/1880716426224513270","66356758","afiiitz10"
"1880302870760771980","Sat Jan 18 20:37:22 +0000 2025","70","@coch17_hayday @tanyarlfes @BPOM_RI Km kira BPOM akan mendukung doktif? Oh tentu gabisa mendukung doktif sama aja mengakui kalo kerja mereka ngga becus wkwkwkwk","1880716130400326099","","coch17_hayday","in","London, England","0","2","5","https://x.com/rraelst/status/1880716130400326099","1604335428240187392","rraelst"
"1880707645117780064","Sat Jan 18 20:03:39 +0000 2025","0","bpom kalo gamau ada review2 produk mending kerjanya yg bener dl","1880707645117780064","","","in","","0","0","0","https://x.com/anotherside1s/status/1880707645117780064","1775977300741480448","anotherside1s"
"1880698705273319467","Sat Jan 18 19:58:36 +0000 2025","0","Kesalahan paling fatal BPOM adalah meloloskan sirup paracetamol yg bikin banyak anak gagal ginjal Kok bisa si pak Itu anak2 kecil masa depannya masih panjang. Tanggung jawab di akhirat lho pak ","1880706373895537137","","swastimayaa","in","Germany","0","0","0","https://x.com/swastimayaa/status/1880706373895537137","1686044529529651200","swastimayaa"
"1880698705273319467","Sat Jan 18 19:28:07 +0000 2025","0","Huru hara per skincare an memasuki babak baru. Makin seru yaaa para sultan2 yg hobi flexing ini Andai BPOM lebih teliti harusnya gak ada drama2 kayak gini. Gak ada produk yg overclaim produk yg mengandung merkuri dll &amp; bisa lolos edar. Keselamatan konsumen tuh yg utama lho","1880698705273319467","","","in","Germany","0","1","0","https://x.com/swastimayaa/status/1880698705273319467","1686044529529651200","swastimayaa"
"1880437537719935011","Sat Jan 18 19:24:22 +0000 2025","13","@elsayul_twt @whoopziiy haduh netizen twitter itu produk yang direview jelas jelas BPOM padahal ada kandungan berbahaya? trus dijelasin sama doktif yeee gimana masyarakat pada ga hebohhhhhh ANEHHH","1880697761206841432","","elsayul_twt","in","","0","0","0","https://x.com/ekseuan1/status/1880697761206841432","1255540178321461248","ekseuan1"
"1880688452842524861","Sat Jan 18 18:47:23 +0000 2025","0","mau fokus ke kinerja bpom aja udah berkali-kali kecolongan jangan sampe kepercayaan masyarakat makin turun gara-gara minimnya perlindungan ke konsumen gini.","1880688452842524861","","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/0xyuun/status/1880688452842524861","1794254492902559744","0xyuun"
"1880406034566586401","Sat Jan 18 18:40:24 +0000 2025","9","@yoake_6 @convomf BENERRR kalo memang kinerjanya sudah bagus gaakan ada orang-orang kaya doktif yang kekeuh bongkar bobroknya skincare-skincare berbahaya yang beredar gini. jadi tolong @BPOM_RI kalau gamau ada pihak luar yang terlibat silahkan pengawasan dan kinerjanya ditingkatkan.","1880686695081021884","","yoake_6","in","Kota Surabaya, Jawa Timur","0","0","1","https://x.com/0xyuun/status/1880686695081021884","1794254492902559744","0xyuun"
"1880686363005338062","Sat Jan 18 18:39:05 +0000 2025","0","gini loh @BPOM_RI kan ngasi peringatan kalo yang boleh mengumumkan hal kaya gini itu ya dari badan pom sendiri tapi sadar ga alasan kenapa banyak masyarakat masih dukung doktif? ini imbas banyaknya skincare atau obat yang ternyata ada kandungan berbahaya tp masih beredar.","1880686363005338062","","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/0xyuun/status/1880686363005338062","1794254492902559744","0xyuun"
"1880685717313196415","Sat Jan 18 18:36:31 +0000 2025","0","Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: (Promo 1+1 Set) CHALONESE Paket Skincare BPOM Cream Whitening Moisturizer Sunscreen Facial Wash Skin Care Wajah Harga Produk: Rp199.999 Harga Diskon: Rp78.989 | https://t.co/2qshfnQTSW","1880685717313196415","","","in","","0","0","0","https://x.com/ikecahya28/status/1880685717313196415","1402459484522369033","ikecahya28"
"1880685648413360276","Sat Jan 18 18:36:14 +0000 2025","0","Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: (Promo 1+1+1 Set) CHALONESE Paket Skincare BPOM Cream Whitening Moisturizer Sunscreen Facial Wash Skin Care Wajah Harga Produk: Rp199.999 Harga Diskon: Rp85.099 | https://t.co/1QJarMlcgE","1880685648413360276","","","in","","0","0","0","https://x.com/ikecahya28/status/1880685648413360276","1402459484522369033","ikecahya28"
"1880685336197808544","Sat Jan 18 18:35:00 +0000 2025","0","【BPOM】Disunie Vitamin C Moisturizing Cream Krim Siang Sekaligus Krim Malam 50g - Vitamin C Tinggi yang Memberikan Perlindungan Pemutihan dan Antioksidan Menyeluruh pada kulit Melembapkan Harga Produk: Rp105.000 Harga Diskon: Rp68.000 | https://t.co/vN5cw0Tq4w","1880685336197808544","","","in","","0","0","0","https://x.com/ikecahya28/status/1880685336197808544","1402459484522369033","ikecahya28"
"1880685114054861149","Sat Jan 18 18:34:07 +0000 2025","0","[UPGRADE] Whitelab N5-Dose+ Brightening Booster Serum - Niacinamide 5% - Serum Cerah Maksimal Untuk Kulit Sensitif Dan Berminyak Dengan Oxy229 &amp; Hyaluronic [BPOM] Harga Produk: Rp148.000 Harga Diskon: Rp74.700 | https://t.co/7eSydZNwKI","1880685114054861149","","","in","","0","0","0","https://x.com/ikecahya28/status/1880685114054861149","1402459484522369033","ikecahya28"
"1880684980873142497","Sat Jan 18 18:33:35 +0000 2025","0","Aku nemu promo menarik di Lazada nih. Yuk coba lihat! Nama Produk: Whitelab Brightening Day Cream - Pelembap Krim Pagi Pencerah Wajah Untuk Kulit Kering Dengan Niacinamide Hyaluronic &amp; Collagen [BPOM] Harga Produk: Rp120.000 Harga Diskon: Rp59.500 | https://t.co/ndzuq0pMUK","1880684980873142497","","","in","","0","0","0","https://x.com/ikecahya28/status/1880684980873142497","1402459484522369033","ikecahya28"
"1880406034566586401","Sat Jan 18 18:19:33 +0000 2025","0","@convomf Percuma UU hak perlindungan konsumen tapi BPOM malah nyegat orang yg berniat melindungi konsumen. Kocak.","1880681448317005974","","convomf","in","Jkt tpi sunda","0","0","0","https://x.com/urrhoneybby/status/1880681448317005974","1596135702403506176","urrhoneybby"
"1880680241200550192","Sat Jan 18 18:14:45 +0000 2025","0","bpom lu benerin dulu kerja lu jgn gila duit mulu. sirup bikin gagal ginjal lu lolosin skincare ada merkuri lu lolosin. giliran ada aduan/korban/viral baru lu tarik. kaciw bet kaciw.","1880680241200550192","","","in","#MotherhoodㅤㅡㅤFucking Well","0","0","0","https://x.com/unforgivenism/status/1880680241200550192","1780636893480415232","unforgivenism"
"1880406034566586401","Sat Jan 18 15:43:52 +0000 2025","3","@smartgirl1506 @convomf @Gerindra minn tolong banget inimah di baca yaa ini tentang BPOM","1880642270581727352","","smartgirl1506","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/uswtnhsnh22/status/1880642270581727352","1671277487157026816","uswtnhsnh22"
