"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1880766993726636255","Sat Jan 18 23:59:28 +0000 2025","9","Presiden Prabowo angkat bicara terkait dengan wacana bantuan zakat dlm mendanai Program Makan Bergizi Gratis. Menurutnya setiap pihak boleh membantu utk menyukseskan program MBG asal efisien Botak lepas Doktif Chiesa $TRUMP selebgram hits 2025 shawn mendes arteta getafe https://t.co/QH32EyxQUJ","1880766993726636255","https://pbs.twimg.com/ext_tw_video_thumb/1880766938110119937/pu/img/xMZL5tHQttxpBhMs.jpg","","in","Indonesia","1","3","9","https://x.com/Nutri_sar1/status/1880766993726636255","1569721726359195649","Nutri_sar1"
"1880766969198301539","Sat Jan 18 23:59:23 +0000 2025","7","Penjabat Gubernur Papua Ramses Limbong mengungkapkan bahwa program MBG di Papua akan disesuaikan dgn kondisi dan kearifan lokal. Dengan penyesuaian ini diharapkan program MBG dpt lebih efektif dan sesuai dgn kebutuhan masyarakat Papua. #TumpasOPM_JagaPapua Botak lepas Doktif https://t.co/M7kiWuo9ws","1880766969198301539","https://pbs.twimg.com/media/GhnTlifaQAA64zG.jpg","","in","","1","1","7","https://x.com/alfiah67/status/1880766969198301539","1492516437482610690","alfiah67"
"1880766863514497481","Sat Jan 18 23:58:57 +0000 2025","9","Meskipun kita mempunyai pilihan politik yang berbeda kita tetap merupakan bangsa yang menghormati perbedaan dan berkomitmen untuk membangun masa depan bersama tanpa ada keributan. Botak lepas Doktif Chiesa $TRUMP selebgram hits 2025 shawn mendesarteta getafe https://t.co/hLBPBTM9aJ","1880766863514497481","https://pbs.twimg.com/media/GhnTfrYbkAA9nka.jpg","","in","","1","3","9","https://x.com/night_sandi/status/1880766863514497481","2221352234","night_sandi"
"1880766793108894007","Sat Jan 18 23:58:41 +0000 2025","7","Pemerintah resmikan gudang logistik Distrik Agandugume Papua Tegah. Gudang logistik ini merupakan upaya pemerintah utk mencegah terjadinya bencana kelaparan di Papua serta memfasilitasi lumbung pangan utk kawasan Agandugume. #TumpasOPM_JagaPapua Botak lepas Doktif Chiesa $TRUMP https://t.co/PdReoSlWLe","1880766793108894007","https://pbs.twimg.com/media/GhnTbUbbgAAZam8.jpg","","in","","0","2","7","https://x.com/alfiah67/status/1880766793108894007","1492516437482610690","alfiah67"
"1880765659845701741","Sat Jan 18 23:58:40 +0000 2025","2","@tanyarlfes Semoga doktif menang dok","1880766790256779628","","tanyarlfes","in","","0","0","0","https://x.com/minato_nami19/status/1880766790256779628","1543874228654845952","minato_nami19"
"1880766625739321661","Sat Jan 18 23:58:01 +0000 2025","7","Perbedaan pandangan dan pilihan politik merupakan hal yang wajar terjadi dalam sebuah kontestasi politik. Namun Karena itu meski berbeda pilihan sejatinya semua masyarakat memiliki tujuan yang sama yaitu Indonesia. _ Botak lepas Doktif Chiesa $TRUMP selebgram hits 2025 shawn https://t.co/UL57f9CyzJ","1880766625739321661","https://pbs.twimg.com/media/GhnTRoubgAA0qW1.jpg","","in","","0","2","7","https://x.com/alfiah67/status/1880766625739321661","1492516437482610690","alfiah67"
"1880766555895873734","Sat Jan 18 23:57:44 +0000 2025","7","Presiden Prabowo meminta semua kementerian/lembaga saling bekerja sama agar program makan bergizi gratis dapat dinikmati semua penerima manfaat. Presiden Prabowo berencana menambah anggaran program tersebut. Botak lepas Doktif Chiesa $TRUMP selebgram hits 2025 shawn mendesarteta https://t.co/aHS9IYGw3s","1880766555895873734","https://pbs.twimg.com/media/GhnTNg9bcAEPbZo.jpg","","in","","1","1","7","https://x.com/alfiah67/status/1880766555895873734","1492516437482610690","alfiah67"
"1880766403298660638","Sat Jan 18 23:57:08 +0000 2025","8","Presiden Prabowo mempersilahkan pemerintah daerah apabila ingin membantu membiayai program makan bergizi gratis. Beliau mengatakan pemerintah membuka pintu bagi siapapun yg mau terlibat dalam program unggulan tersebut. _ Botak lepas Doktif Chiesa $TRUMP selebgram hits 2025 shawn https://t.co/KceLZY7XHk","1880766403298660638","https://pbs.twimg.com/ext_tw_video_thumb/1880766286281777152/pu/img/ap1NZ14PmJQ6v36m.jpg","","in","","1","3","7","https://x.com/alfiah67/status/1880766403298660638","1492516437482610690","alfiah67"
"1880766392817062152","Sat Jan 18 23:57:05 +0000 2025","9","Presiden Prabowo Optimistis Pertumbuhan Ekonomi Indonesia Capai 8 Persen Presiden Prabowo Subianto menyampaikan keyakinannya bahwa Indonesia mampu mencapai target pertumbuhan ekonomi sebesar 8 persen Botak lepas Doktif Chiesa $TRUMP selebgram hits 2025 shawn mendesarteta getafe https://t.co/2dBhQMM6EN","1880766392817062152","https://pbs.twimg.com/media/GhnTEI6boAERIcP.jpg","","in","","2","3","6","https://x.com/alfiah67/status/1880766392817062152","1492516437482610690","alfiah67"
"1880765659845701741","Sat Jan 18 23:54:10 +0000 2025","150"," Siapa yg ga sabar nungguin presscon nya doktif besok senin? Kita lihatt fakta-fakta apa aja yg bakal diungkap doktif mana katanya banyak org-org terkenal yg diundang gess https://t.co/4BWqoKg9nE","1880765659845701741","https://pbs.twimg.com/media/GhnSZiKbIAAMs4D.jpg","","in","Indonesia","1","32","8","https://x.com/tanyarlfes/status/1880765659845701741","1371650588","tanyarlfes"
"1880764990149550354","Sat Jan 18 23:51:31 +0000 2025","1","Pink pink viral acha hijab https://t.co/Z3Hy4Nm66p https://t.co/Q9IgaS92AZ https://t.co/NqqvgpAQ4R https://t.co/Ub2oe3eoBF Minggu pagiii indo lokal viral video towel azka botak #Pejuhin partey lepas doktif https://t.co/Nh8PefCYUU","1880764990149550354","https://pbs.twimg.com/media/GhnRyQhb0AAGucf.jpg","","in","","0","0","0","https://x.com/essevce/status/1880764990149550354","906851233","essevce"
"1880437537719935011","Sat Jan 18 23:50:36 +0000 2025","0","@whoopziiy Doktif itu dokter fiktif ?","1880764761157365992","","whoopziiy","in","","0","0","0","https://x.com/Todayaremine/status/1880764761157365992","1810372719101497344","Todayaremine"
"1880406034566586401","Sat Jan 18 23:46:21 +0000 2025","1","@czthiswillbeend @nekoookawaix @convomf Udah cair bayarannya belum? Btw otak bisa dipake ga? Kalau di kasih tau bisa habis itu yg ngasih sampel ke doktif itu aja kok ga bisa mikir️","1880763690963841191","","czthiswillbeend","in","","0","0","0","https://x.com/chocowhitemei/status/1880763690963841191","1211447992525320192","chocowhitemei"
